FDR_Rand_MS,FDR_DS,FDR_MDS,TPR_Rand_MS,TPR_DS,TPR_MDS,successsfull_run,rho,signal_strength
0.08888888888888889,0.14583333333333334,0.0,0.82,0.82,0.8,1.0,0.0,5.0
0.023809523809523808,0.0975609756097561,0.0,0.82,0.74,0.76,1.0,0.0,5.0
0.07317073170731707,0.0975609756097561,0.0,0.76,0.74,0.7,1.0,0.0,5.0
0.047619047619047616,0.10526315789473684,0.0,0.8,0.68,0.72,1.0,0.0,5.0
0.06976744186046512,0.0,0.0,0.8,0.8,0.8,1.0,0.0,5.0
0.07317073170731707,0.0,0.05555555555555555,0.76,0.62,0.68,1.0,0.0,5.0
0.10256410256410256,0.1794871794871795,0.027777777777777776,0.7,0.64,0.7,1.0,0.0,5.0
0.022222222222222223,0.05405405405405406,0.06976744186046512,0.88,0.7,0.8,1.0,0.0,5.0
0.09090909090909091,0.0,0.0,0.8,0.78,0.78,1.0,0.0,5.0
0.0851063829787234,0.025,0.0,0.86,0.78,0.8,1.0,0.0,5.0
0.04878048780487805,0.05714285714285714,0.0,0.78,0.66,0.74,1.0,0.0,5.0
0.11363636363636363,0.02564102564102564,0.0,0.78,0.76,0.74,1.0,0.0,5.0
0.02702702702702703,0.05714285714285714,0.0,0.72,0.66,0.7,1.0,0.0,5.0
0.09302325581395349,0.13043478260869565,0.02631578947368421,0.78,0.8,0.74,1.0,0.0,5.0
0.023809523809523808,0.046511627906976744,0.0,0.82,0.82,0.8,1.0,0.0,5.0
0.02857142857142857,0.05714285714285714,0.0,0.68,0.66,0.64,1.0,0.0,5.0
0.0,0.034482758620689655,0.0,0.66,0.56,0.66,1.0,0.0,5.0
0.075,0.075,0.0,0.74,0.74,0.74,1.0,0.0,5.0
0.0,0.07317073170731707,0.0,0.76,0.76,0.72,1.0,0.0,5.0
0.09302325581395349,0.1875,0.025,0.78,0.78,0.78,1.0,0.0,5.0
0.1111111111111111,0.07317073170731707,0.047619047619047616,0.8,0.76,0.8,1.0,0.2,5.0
0.025,0.20833333333333334,0.0,0.78,0.76,0.74,1.0,0.2,5.0
0.07317073170731707,0.11904761904761904,0.0,0.76,0.74,0.7,1.0,0.2,5.0
0.04878048780487805,0.030303030303030304,0.02702702702702703,0.78,0.64,0.72,1.0,0.2,5.0
